ChAc;G/L Acct;B/S acct;G/L acct;Group Acct;Date;Created by;AT;AcGp;Samp. acct;Tr.Prt;DelFl;Crtn.block;Pstg block;Plan.block;Search Term;Func. Area;Short Text;G/L Acct Long Text;G/L long text;P&L LVL 1;P&L LVL 2;P&L LVL 3;P&L LVL 4;P&L LVL 5;P&L LVL 6;P&L LVL 7
PCOP;425200;X;425200;;25.03.2007;CCOCUELLE;;RECO;;;;;;;;;Staff - permanent ad;Staff - permanent advances;STAFF - PERMANENT ADVANCE;;;;;;;
PCOP;425300;X;425300;;27.04.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - salary advan;Staff - salary advances;STAFF - SALARY ADVANCES;;;;;;;
PCOP;425400;X;425400;;01.07.2020;JGUE;;BIL.;;;;;;;;;Concur Expenses Adva;Concur Expenses Cash Advance;CONCUR EXPENSES CASH ADVA;;;;;;;
PCOP;426000;X;426000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - deposits;Staff - deposits;STAFF - DEPOSITS;;;;;;;
PCOP;427000;X;427000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - garnishments;Staff - garnishments;STAFF - GARNISHMENTS;;;;;;;
PCOP;427100;X;427100;;01.12.2016;JGUE;;BIL.;;;;;;;;;Staff - salary trans;Staff - salary transfers;STAFF - SALARY TRANSFERS;;;;;;;
PCOP;428200;X;428200;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - debts for va;Staff - debts for vacation pay provisions;STAFF - DEBTS FOR VACATIO;;;;;;;
PCOP;428600;X;428600;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - other liabil;Staff - other liabilities;STAFF - OTHER LIABILITIES;;;;;;;
PCOP;428650;X;428650;;11.12.2024;JGUE;;BIL.;;;;;;;;;FR Prov Prime Vac.;FR Prov Prime Vacances 06/AAAA;FR PROV PRIME VACANCES 06;;;;;;;
PCOP;428700;X;428700;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Staff - receivables;Staff - receivables;STAFF - RECEIVABLES;;;;;;;
PCOP;431000;X;431000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Social security;Social security;SOCIAL SECURITY;;;;;;;
PCOP;437000;X;437000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Other social organiz;Other social organizations;OTHER SOCIAL ORGANIZATION;;;;;;;
PCOP;437100;X;437100;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;ASSEDIC;ASSEDIC;ASSEDIC;;;;;;;
PCOP;437200;X;437200;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Pension fund;Pension fund;PENSION FUND;;;;;;;
PCOP;437205;X;437205;;24.04.2007;IGE;;BIL.;;;;;;;;;Retirement;Retirement;RETIREMENT;;;;;;;
PCOP;437300;X;437300;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Provident fund;Provident fund;PROVIDENT FUND;;;;;;;
PCOP;437400;X;437400;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Mutual fund;Mutual fund;MUTUAL FUND;;;;;;;
PCOP;437500;X;437500;;26.04.2011;PDUP;;BIL.;;;;;;;;;Occupational health;Occupational health;OCCUPATIONAL HEALTH;;;;;;;
PCOP;438200;X;438200;;30.01.2008;IGE;;BIL.;;;;;;;;;Social organizations;Social organizations - liabilities;SOCIAL ORGANIZATIONS - LI;;;;;;;
PCOP;438300;X;438300;;30.01.2008;IGE;;BIL.;;;;;;;;;Social charges / pre;Social charges / premiums;SOCIAL CHARGES / PREMIUMS;;;;;;;
PCOP;438600;X;438600;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Social organizations;Social organizations - liabilities;SOCIAL ORGANIZATIONS - LI;;;;;;;
PCOP;438650;X;438650;;11.12.2024;JGUE;;BIL.;;;;;;;;;FR Ch Prov Prime Vac;FR Chg. Prov Prime Vacances 06/AAAA;FR CHG. PROV PRIME VACANC;;;;;;;
PCOP;438700;X;438700;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Social organizations;Social organizations - receivables;SOCIAL ORGANIZATIONS - RE;;;;;;;
PCOP;442100;X;442100;;16.01.2019;OMAL;;BIL.;;;;;;;;;Witholding Tax Payab;Witholding Tax Payable Payroll;WITHOLDING TAX PAYABLE PA;;;;;;;
PCOP;443200;X;443200;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;State - seizure orde;State - seizure order;STATE - SEIZURE ORDER;;;;;;;
PCOP;444000;X;444000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;State tax on profits;State tax on profits;STATE TAX ON PROFITS;;;;;;;
PCOP;445510;X;445510;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT to be paid;VAT to be paid;VAT TO BE PAID;;;;;;;
PCOP;445580;X;445580;;14.02.2007;CBL;;BIL.;;;;;;;;;Taxes similar to VAT;Taxes similar to VAT to be paid;TAXES SIMILAR TO VAT TO B;;;;;;;
PCOP;445620;X;445620;;13.02.2007;CBL;;BIL.;;;;;;;;;Deductible VAT / fix;Deductible VAT / fixed assets;DEDUCTIBLE VAT / FIXED AS;;;;;;;
PCOP;445621;X;445621;;13.02.2007;CBL;;BIL.;;;;;;;;;Deductible VAT / fix;Deductible VAT / fixed assets;DEDUCTIBLE VAT / FIXED AS;;;;;;;
PCOP;445625;X;445625;;13.02.2007;CBL;;BIL.;;;;;;;;;Deductible VAT / fix;Deductible VAT / fixed assets (receipts) 19.60%;DEDUCTIBLE VAT / FIXED AS;;;;;;;
PCOP;445626;X;445626;;14.02.2007;CBL;;BIL.;;;;;;;;;Deductible VAT (corr;Deductible VAT (correction);DEDUCTIBLE VAT (CORRECTIO;;;;;;;
PCOP;445660;X;445660;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services;VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445661;X;445661;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services 2.10%;VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445662;X;445662;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services (TR);VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445663;X;445663;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services (TN);VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445665;X;445665;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services (receipts) 5.50%;VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445666;X;445666;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT on other goods a;VAT on other goods and services (receipts) 20.00%;VAT ON OTHER GOODS AND SE;;;;;;;
PCOP;445670;X;445670;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT credit to carry;VAT credit to carry forward;VAT CREDIT TO CARRY FORWA;;;;;;;
PCOP;445680;X;445680;;14.02.2007;CBL;;BIL.;;;;;;;;;Taxes similar to VAT;Taxes similar to VAT deductible;TAXES SIMILAR TO VAT DEDU;;;;;;;
PCOP;445690;X;445690;;13.02.2007;CBL;;BIL.;;;;;;;;;Deductible VAT on EU;Deductible VAT on EU imports;DEDUCTIBLE VAT ON EU IMPO;;;;;;;
PCOP;445710;X;445710;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected;VAT collected;VAT COLLECTED;;;;;;;
PCOP;445711;X;445711;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected (TR);VAT collected (TR);VAT COLLECTED (TR);;;;;;;
PCOP;445712;X;445712;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected (TN);VAT collected (TN);VAT COLLECTED (TN);;;;;;;
PCOP;445713;X;445713;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT collected (doubt;VAT collected (doubtful);VAT COLLECTED (DOUBTFUL);;;;;;;
PCOP;445715;X;445715;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected (recei;VAT collected (receipts) 8.0%;VAT COLLECTED (RECEIPTS);;;;;;;
PCOP;445716;X;445716;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected (recei;VAT collected (receipts);VAT COLLECTED (RECEIPTS);;;;;;;
PCOP;445717;X;445717;;31.03.2014;JGUE;;BIL.;;;;;;;;;VAT collected 19.25%;VAT collected 19.25% Cameroon receipts;VAT COLLECTED 19.25% CAME;;;;;;;
PCOP;445780;X;445780;;14.02.2007;CBL;;BIL.;;;;;;;;;Taxes similar to VAT;Taxes similar to VAT collected;TAXES SIMILAR TO VAT COLL;;;;;;;
PCOP;445790;X;445790;;13.02.2007;CBL;;BIL.;;;;;;;;;VAT collected on EU;VAT collected on EU imports;VAT COLLECTED ON EU IMPOR;;;;;;;
PCOP;445830;X;445830;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT refunds requeste;VAT refunds requested;VAT REFUNDS REQUESTED;;;;;;;
PCOP;445840;X;445840;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT recovered in adv;VAT recovered in advance;VAT RECOVERED IN ADVANCE;;;;;;;
PCOP;445860;X;445860;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices not r;VAT / invoices not received;VAT / INVOICES NOT RECEIV;;;;;;;
PCOP;445861;X;445861;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices not r;VAT / invoices not received 5.50%;VAT / INVOICES NOT RECEIV;;;;;;;
PCOP;445862;X;445862;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices not r;VAT / invoices not received 19.60%;VAT / INVOICES NOT RECEIV;;;;;;;
PCOP;445865;X;445865;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits not re;VAT / credits not received;VAT / CREDITS NOT RECEIVE;;;;;;;
PCOP;445866;X;445866;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits not re;VAT / credits not received 5.50%;VAT / CREDITS NOT RECEIVE;;;;;;;
PCOP;445867;X;445867;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits not re;VAT / credits not received 19.60%;VAT / CREDITS NOT RECEIVE;;;;;;;
PCOP;445870;X;445870;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices to be;VAT / invoices to be issued;VAT / INVOICES TO BE ISSU;;;;;;;
PCOP;445871;X;445871;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices to be;VAT / invoices to be issued 5.50%;VAT / INVOICES TO BE ISSU;;;;;;;
PCOP;445872;X;445872;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / invoices to be;VAT / invoices to be issued 19.60%;VAT / INVOICES TO BE ISSU;;;;;;;
PCOP;445875;X;445875;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits to be;VAT / credits to be issued;VAT / CREDITS TO BE ISSUE;;;;;;;
PCOP;445876;X;445876;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits to be;VAT / credits to be issued 5.50%;VAT / CREDITS TO BE ISSUE;;;;;;;
PCOP;445877;X;445877;;14.02.2007;CBL;;BIL.;;;;;;;;;VAT / credits to be;VAT / credits to be issued 19.60%;VAT / CREDITS TO BE ISSUE;;;;;;;
PCOP;447000;X;447000;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Other taxes and simi;Other taxes and similar payments;OTHER TAXES AND SIMILAR P;;;;;;;
PCOP;447600;X;447600;;17.05.2011;PDUP;;BIL.;;;;;;;;;Withholding taxes fr;Withholding taxes from customers;WITHHOLDING TAXES FROM CU;;;;;;;
PCOP;448200;X;448200;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;Charges on paid leav;Charges on paid leave;CHARGES ON PAID LEAVE;;;;;;;
PCOP;448600;X;448600;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;State - charges to b;State - charges to be paid;STATE - CHARGES TO BE PAI;;;;;;;
PCOP;448630;X;448630;;07.01.2025;JGUE;;BIL.;;;;;;;;;Form Pro Convention;Formation Professionnelle Conventionnelle;FORMATION PROFESSIONNELLE;;;;;;;
PCOP;448700;X;448700;;25.03.2007;CCOCUELLE;;BIL.;;;;;;;;;State - receivables;State - receivables;STATE - RECEIVABLES;;;;;;;
PCOP;451069;X;451069;;22.03.2022;JGUE;;BIL.;;;;;;;;;COMPTE COURANT ITO;COMPTE COURANT ITO;COMPTE COURANT ITO;;;;;;;
PCOP;451071;X;451071;;20.04.2022;JGUE;;BIL.;;;;;;;;;COMPTE COURANT IBS;COMPTE COURANT INTEGRA Business Service;COMPTE COURANT INTEGRA BU;;;;;;;
PCOP;451075;X;451075;;05.09.2022;JGUE;;BIL.;;;;;;;;;CC HR Path Cz;COMPTE COURANT HR Path Cz;COMPTE COURANT HR PATH CZ;;;;;;;
PCOP;451080;X;451080;;14.11.2023;JGUE;;BIL.;;;;;;;;;CPTE CRT GRH SERV;COMPTE COURANT GRH Services;COMPTE COURANT GRH SERVIC;;;;;;;
PCOP;451082;X;451082;;13.09.2023;OMAL;;BIL.;;;;;;;;;COMPTE COURANT PORTU;COMPTE COURANT HR PATH PORTUGAL;COMPTE COURANT HR PATH PO;;;;;;;
PCOP;451083;X;451083;;25.07.2024;TDUP;;BIL.;;;;;;;;;CPTE CRT FIZZ;COMPTE COURANT FIZZ;COMPTE COURANT FIZZ;;;;;;;
PCOP;451084;X;451084;;04.04.2024;JGUE;;BIL.;;;;;;;;;CURRENT ACC. 3PLUS;CURRENT ACCOUNT 3PLUS;CURRENT ACCOUNT 3PLUS;;;;;;;
PCOP;451085;X;451085;;04.04.2024;JGUE;;BIL.;;;;;;;;;CURRENT ACC. ITZ;CURRENT ACCOUNT INTELLIGENZA;CURRENT ACCOUNT INTELLIGE;;;;;;;
PCOP;451086;X;451086;;04.04.2024;JGUE;;BIL.;;;;;;;;;CURRENT ACC. GROUPEX;CURRENT ACCOUNT GROUPEX;CURRENT ACCOUNT GROUPEX;;;;;;;
PCOP;451089;X;451089;;24.07.2024;JGUE;;BIL.;;;;;;;;;CPTE CRT BIDCO HRPP;COMPTE COURANT BIDCO HR PATH;COMPTE COURANT BIDCO HR P;;;;;;;
PCOP;451090;X;451090;;24.07.2024;JGUE;;BIL.;;;;;;;;;CPTE CRT TOPCO HRP;COMPTE COURANT TOPCO HR PATH;COMPTE COURANT TOPCO HR P;;;;;;;
PCOP;451100;X;451100;;23.06.2009;JCO;;BIL.;;;;;;;;;CBL current account;CBL current account;CBL CURRENT ACCOUNT;;;;;;;
PCOP;451125;X;451125;;23.12.2015;JGUE;;BIL.;;;;;;;;;CPTE COURANT CLEVEOR;COMPTE COURANT CLEVEOR;COMPTE COURANT CLEVEOR;;;;;;;
PCOP;451127;X;451127;;08.01.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT HUMAN;COMPTE COURANT HUMAN START;COMPTE COURANT HUMAN STAR;;;;;;;
PCOP;451128;X;451128;;08.01.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT DESIGN;COMPTE COURANT DESIGN RH;COMPTE COURANT DESIGN RH;;;;;;;
PCOP;451129;X;451129;;08.04.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT HR GSYS;COMPTE COURANT HR GSYS;COMPTE COURANT HR GSYS;;;;;;;
PCOP;451130;X;451130;;08.04.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT HRMIND;COMPTE COURANT HRMIND;COMPTE COURANT HRMIND;;;;;;;
PCOP;451132;X;451132;;01.07.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT CINETHI;COMPTE COURANT  CINETHIC;COMPTE COURANT  CINETHIC;;;;;;;
PCOP;451133;X;451133;;07.09.2016;PDUP;;BIL.;;;;;;;;;CPTE COURANT STRATOR;COMPTE COURANT  STRATOR;COMPTE COURANT  STRATOR;;;;;;;
PCOP;451134;X;451134;;21.09.2016;PDUP;;BIL.;;;;;;;;;C CT HRP MAROC;COMPTE COURANT  HRPATH MAROC;COMPTE COURANT  HRPATH MA;;;;;;;
PCOP;451150;X;451150;;05.05.2014;PDUP;;BIL.;;;;;;;;;CPTE COURANT UK;COMPTE COURANT HRPATH UK;COMPTE COURANT HRPATH UK;;;;;;;
PCOP;451152;X;451152;;19.11.2020;OMAL;;BIL.;;;;;;;;;COMPTE COURANT Go Cl;COMPTE COURANT Go Cloud France;COMPTE COURANT GO CLOUD F;;;;;;;
PCOP;451153;X;451153;;15.06.2021;OMAL;;BIL.;;;;;;;;;COMPTE COURANT Go Cl;COMPTE COURANT Go Cloud UK;COMPTE COURANT GO CLOUD U;;;;;;;
PCOP;451155;X;451155;;16.04.2015;PDUP;;BIL.;;;;;;;;;CPTE CT HRP ALLEMAGN;COMPTE COURANT HRP ALLEMAGNE;COMPTE COURANT HRP ALLEMA;;;;;;;
PCOP;451160;X;451160;;05.05.2014;PDUP;;BIL.;;;;;;;;;CPTE COURANT ESPAGNE;COMPTE COURANT HRPATH ESPAGNE;COMPTE COURANT HRPATH ESP;;;;;;;
PCOP;451165;X;451165;;16.04.2015;PDUP;;BIL.;;;;;;;;;CPTE CT HRP ROUMANIE;COMPTE COURANT HRP ROUMANIE;COMPTE COURANT HRP ROUMAN;;;;;;;
PCOP;451170;X;451170;;25.02.2014;PDUP;;BIL.;;;;;;;;;CPTE COURANT VIETNAM;COMPTE COURANT HRPATH VIETNAM;COMPTE COURANT HRPATH VIE;;;;;;;
PCOP;451175;X;451175;;18.06.2015;PDUP;;BIL.;;;;;;;;;CPTE COURANT SOFTWAR;COMPTE COURANT HR PATH SOFTWARE;COMPTE COURANT HR PATH SO;;;;;;;
PCOP;451176;X;451176;;18.06.2015;PDUP;;BIL.;;;;;;;;;CPTE COURANT DELORT;COMPTE COURANT DELORT ET ASSOCIES;COMPTE COURANT DELORT ET;;;;;;;
PCOP;451180;X;451180;;28.09.2011;PDUP;;BIL.;;;;;;;;;CC HR Path Holding;COMPTE COURANT HR PATH HOLDING (ex HENSOL);COMPTE COURANT HR PATH HO;;;;;;;
PCOP;451190;X;451190;;07.12.2010;PDUP;;BIL.;;;;;;;;;DFHR current account;DFHR current account;DFHR CURRENT ACCOUNT;;;;;;;
PCOP;451200;X;451200;;23.06.2009;JCO;;BIL.;;;;;;;;;GRH Consulting curre;GRH Consulting current account;GRH CONSULTING CURRENT AC;;;;;;;
PCOP;451230;X;451230;;03.05.2018;JGUE;;BIL.;;;;;;;;;CC HR PATH BE;COMPTE COURANT HR PATH BE (ex Ataraxis NV Belgium);COMPTE COURANT HR PATH BE;;;;;;;
PCOP;451240;X;451240;;24.04.2015;JGUE;;BIL.;;;;;;;;;CPTE COURANT HRP INT;COMPTE COURANT HR PATH INTEGRATION;COMPTE COURANT HR PATH IN;;;;;;;
PCOP;451300;X;451300;;16.02.2010;JCO;;BIL.;;;;;;;;;HR Path current acco;HR Path current account;HR PATH CURRENT ACCOUNT;;;;;;;
PCOP;451310;X;451310;;14.05.2017;JGUE;;BIL.;;;;;;;;;CPTE COURANT HOLDING;COMPTE COURANT HR PATH HOLDING;COMPTE COURANT HR PATH HO;;;;;;;
PCOP;451311;X;451311;;25.07.2017;JGUE;;BIL.;;;;;;;;;CPTE COURANT TEAM13;COMPTE COURANT HR PATH TEAM13;COMPTE COURANT HR PATH TE;;;;;;;
PCOP;451315;X;451315;;02.01.2018;JGUE;;BIL.;;;;;;;;;CPTE COURANT HRPATH;COMPTE COURANT HRPATH BV;COMPTE COURANT HRPATH BV;;;;;;;
PCOP;451320;X;451320;;11.10.2017;JGUE;;BIL.;;;;;;;;;CPTE COURANT HRVOICE;COMPTE COURANT HR VOICE;COMPTE COURANT HR VOICE;;;;;;;
PCOP;451347;X;451347;;11.04.2019;OMAL;;BIL.;;;;;;;;;CPTE CT HRPATH AND;COMPTE COURANT HRPATH AND;COMPTE COURANT HRPATH AND;;;;;;;
PCOP;451362;X;451362;;06.05.2021;JGUE;;BIL.;;;;;;;;;CC HR PATH AND CO;Intercompany Transfer - HR Path And Co Blocked;INTERCOMPANY TRANSFER - H;;;;;;;
PCOP;451400;X;451400;;03.01.2011;PDUP;;BIL.;;;;X;X;X;;;COMPTE COURANT HRMIN;COMPTE COURANT HRMIND NE PAS UTILISER;COMPTE COURANT HRMIND NE;;;;;;;
PCOP;451410;X;451410;;27.06.2013;PDUP;;BIL.;;;;;;;;;ICRH Group current a;ICRH Group current account;ICRH GROUP CURRENT ACCOUN;;;;;;;
PCOP;451420;X;451420;;27.06.2013;PDUP;;BIL.;;;;;;;;;ICRH Participations;ICRH Participations current account;ICRH PARTICIPATIONS CURRE;;;;;;;
PCOP;451430;X;451430;;27.06.2013;PDUP;;BIL.;;;;;;;;;RHP current account;RHP current account;RHP CURRENT ACCOUNT;;;;;;;
PCOP;451440;X;451440;;27.06.2013;PDUP;;BIL.;;;;;;;;;Q-BIK current accoun;Q-BIK current account;Q-BIK CURRENT ACCOUNT;;;;;;;
PCOP;451441;X;451441;;03.05.2018;JGUE;;BIL.;;;;;;;;;CC ATARAXIS BV NL;COMPTE COURANT ATARAXIS BV NL;COMPTE COURANT ATARAXIS B;;;;;;;
PCOP;451445;X;451445;;23.07.2018;JGUE;;BIL.;;;;;;;;;CC HR Path WD FR;COMPTE COURANT HR Path WD FR;COMPTE COURANT HR PATH WD;;;;;;;
PCOP;451450;X;451450;;27.06.2013;PDUP;;BIL.;;;;;;;;;ICRH Consulting curr;ICRH Consulting current account;ICRH CONSULTING CURRENT A;;;;;;;
PCOP;451460;X;451460;;27.06.2013;PDUP;;BIL.;;;;;;;;;ICRH Services curren;ICRH Services current account;ICRH SERVICES CURRENT ACC;;;;;;;
PCOP;451470;X;451470;;27.06.2013;PDUP;;BIL.;;;;;;;;;ICRH Channel current;ICRH Channel current account;ICRH CHANNEL CURRENT ACCO;;;;;;;
PCOP;451480;X;451480;;30.07.2019;JGUE;;BIL.;;;;;;;;;INTERCO TRANS HRP SG;Intercompany Transfered - HR Path Apac Singapore;INTERCOMPANY TRANSFERED -;;;;;;;
PCOP;451490;X;451490;;30.07.2019;JGUE;;BIL.;;;;;;;;;INTERCO TRANS HRP AU;Intercompany Transfered - HR Path Australia;INTERCOMPANY TRANSFERED -;;;;;;;
PCOP;451498;X;451498;;08.02.2018;JGUE;;BIL.;;;;;;;;;CPTE COURANT MEXICO;COMPTE COURANT HR PATH MEXICO;COMPTE COURANT HR PATH ME;;;;;;;
PCOP;451499;X;451499;;03.11.2017;JGUE;;BIL.;;;;;;;;;CPTE COURANT SINGAPO;COMPTE COURANT HR PATH SINGAPOUR;COMPTE COURANT HR PATH SI;;;;;;;
PCOP;451500;X;451500;;30.07.2019;JGUE;;BIL.;;;;;;;;;INTERCO TRANS DDG ID;Intercompany Transfered - PT DDG Indonesia;INTERCOMPANY TRANSFERED -;;;;;;;
PCOP;451550;X;451550;;26.12.2019;JGUE;;BIL.;;;;;;;;;CC Exaserv Inc.;Current Account Exaserv Inc.;CURRENT ACCOUNT EXASERV I;;;;;;;
PCOP;451570;X;451570;;11.03.2020;OMAL;;BIL.;;;;;;;;;Current Account InTa;Current Account InTalent;CURRENT ACCOUNT INTALENT;;;;;;;
PCOP;451580;X;451580;;01.02.2021;JGUE;;BIL.;;;;;;;;;Interco Gaius HR CH;Intercompany Transfer - Gaius HR Switzerland;INTERCOMPANY TRANSFER - G;;;;;;;
PCOP;451581;X;451581;;19.09.2024;JGUE;;BIL.;;;;;;;;;CC Gaius HR Holding;Intercompany Transfer - Gaius HR Holding;INTERCOMPANY TRANSFER - G;;;;;;;
PCOP;451585;X;451585;;25.10.2021;OMAL;;BIL.;;;;;;;;;Interco Gaius HR UK;Intercompany Transfer - Gaius HR UK;INTERCOMPANY TRANSFER - G;;;;;;;
PCOP;451600;X;451600;;03.01.2011;PDUP;;BIL.;;;;;;;;;ICRHNet current acco;ICRHNet current account;ICRHNET CURRENT ACCOUNT;;;;;;;
PCOP;451601;X;451601;;27.06.2013;PDUP;;BIL.;;;;;;;;;CPTE CT RHNET BL1;COMPTE COURANT RHNET BLOQUE 1;COMPTE COURANT RHNET BLOQ;;;;;;;
PCOP;451610;X;451610;;11.09.2013;PDUP;;BIL.;;;;;;;;;CPTE CT HRPATH NC;COMPTE COURANT HRPATH NC Nouvelle Caledo;COMPTE COURANT HRPATH NC;;;;;;;
PCOP;451620;X;451620;;03.06.2021;JGUE;;BIL.;;;;;;;;;CC HR PATH AND CO#2;CC HR PATH AND CO#2;CC HR PATH AND CO#2;;;;;;;
PCOP;451666;X;451666;;07.12.2021;JGUE;;BIL.;;;;;;;;;CC HR Path Colombia;Current account HR Path Colombia;CURRENT ACCOUNT HR PATH C;;;;;;;
PCOP;451670;X;451670;;06.12.2021;JGUE;;BIL.;;;;;;;;;CC Plus HR Ltd;Current Account Plus HR Ltd;CURRENT ACCOUNT PLUS HR L;;;;;;;
PCOP;451700;X;451700;;13.09.2011;PDUP;;BIL.;;;;;;;;;HR Path Canada curre;HR Path Canada current account;HR PATH CANADA CURRENT AC;;;;;;;
PCOP;451710;X;451710;;27.10.2011;PDUP;;BIL.;;;;;;;;;CPTE COURANT belgiqu;COMPTE COURANT HRPATH BELGIQUE;COMPTE COURANT HRPATH BEL;;;;;;;
PCOP;451720;X;451720;;06.01.2012;PDUP;;BIL.;;;;;;;;;Gilbert Consultant c;Gilbert Consultant current account;GILBERT CONSULTANT CURREN;;;;;;;
PCOP;451730;X;451730;;06.01.2012;PDUP;;BIL.;;;;;;;;;CPTE COURANT GPM;COMPTE COURANT GPM;COMPTE COURANT GPM;;;;;;;
PCOP;451740;X;451740;;06.01.2012;PDUP;;BIL.;;;;;;;;;CPTE COURANT GSM;COMPTE COURANT GSM;COMPTE COURANT GSM;;;;;;;
PCOP;451741;X;451741;;05.05.2022;JGUE;;BIL.;;;;;;;;;CC HR PATH AIR;CC HR PATH AIR;CC HR PATH AIR;;;;;;;
PCOP;451742;X;451742;;05.05.2022;JGUE;;BIL.;;;;;;;;;CC HR PATH AIR BLOQ;CC HR PATH AIR BLOQUE (Art l'article 39-1-3 CGI);CC HR PATH AIR BLOQUE (AR;;;;;;;
PCOP;451750;X;451750;;06.01.2012;PDUP;;BIL.;;;;;;;;;CPTE COURANT BEE;COMPTE COURANT BEE;COMPTE COURANT BEE;;;;;;;
PCOP;451760;X;451760;;05.07.2012;PDUP;;BIL.;;;;;;;;;CPTE CRT WELLINGTON;COMPTE COURANT WELLINGTON;COMPTE COURANT WELLINGTON;;;;;;;
PCOP;451761;X;451761;;01.02.2023;OMAL;;BIL.;;;;;;;;;CPTE COURANT KORELO;COMPTE COURANT KORELO;COMPTE COURANT KORELO;;;;;;;
PCOP;451770;X;451770;;05.07.2012;PDUP;;BIL.;;;;;;;;;CPTE COURANT DUBAI;COMPTE COURANT HR PATH DUBAI;COMPTE COURANT HR PATH DU;;;;;;;
PCOP;451777;X;451777;;01.02.2023;OMAL;;BIL.;;;;;;;;;CPTE COURANT FGI;COMPTE COURANT FGI Fischer Group International;COMPTE COURANT FGI FISCHE;;;;;;;
PCOP;451778;X;451778;;01.02.2023;OMAL;;BIL.;;;;;;;;;CPTE COURANT DIGIT;COMPTE COURANT Digital Solutions GmbH;COMPTE COURANT DIGITAL SO;;;;;;;
PCOP;451780;X;451780;;14.02.2013;PDUP;;BIL.;;;;;;;;;Current Account HRP;Current Account HR Path Americas;CURRENT ACCOUNT HR PATH A;;;;;;;
PCOP;451790;X;451790;;24.04.2013;PDUP;;BIL.;;;;;;;;;CPTE CT HRPATH SUISS;COMPTE COURANT HRPATH SUISSE;COMPTE COURANT HRPATH SUI;;;;;;;
PCOP;451860;X;451860;;18.01.2011;PDUP;;BIL.;;;;;;;;;Accrued interest on;Accrued interest on current account (expenses);ACCRUED INTEREST ON CURRE;;;;;;;
