WBS element,Name,Company code,Profit center (BU),Revenue Type,Direct/Ind./Interco,Countries (End Client),Sales Rep
CDS*AMS WFS SF INPASS,CDS*AMS WFS SF INPASS,F095,Workforce,AMS,Direct customer,Canada,Yvan F.
CDS*AMS WFS,CDS*AMS WFS,F095,Workforce,AMS,Direct customer,Canada,Yvan F.
CDS2*AMS S4,CDS2*AMS S4,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
CDS2*AMS S4 INPASS,CDS2*AMS S4 INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
CLC*AMS SF,CLC*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B. 2%
CLC*AMS SF INPASS,CLC*AMS SF INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B. 2%
CLN*COMP SUCC LMS,CLN*COMP SUCC LMS,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
CLN*EC RCMRMK ONB,CLN*EC RCMRMK ONB,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
BEF*UKG AMS,BEF*UKG AMS,F095,UKG,AMS,Direct customer,Canada,Mathieu
BEF*UKG AMS IN PASS,BEF*UKG AMS IN PASS,F095,UKG,AMS,Direct customer,Canada,Mathieu
BEF*UKG STABILISATION,BEF*UKG Stabilisation,F095,UKG,,,,
BII*WFM SUPPORT,(BII) 2504 Balcan Innovations Pro/Pro-WF,F095,UKG,Project,Direct customer,Canada,Mathieu
DLT*MISTRAL P2 EC,DLT*Mistral P2 EC,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Mathieu
DLT*MISTRAL P2 ECP,DLT*Mistral P2 ECP,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Mathieu
DLT*MISTRAL P2 INTEGR.,DLT*Mistral P2 integr.,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Mathieu
DLT*AMS PLANNING,DLT*AMS planning,F095,SAP/SF CA,,,,
DLT*AMS LMS V1,DLT*AMS LMS V1,F095,SAP/SF CA,AMS,Indirect (Partners),Canada,Steve
DLT*AMS LMS V2,DLT*AMS LMS V2,F095,SAP/SF CA,AMS,Indirect (Partners),Canada,Steve
DLT*ECC S4 P1A 1B,DLT*ECC S4 P1A 1B,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Steve
DLT*SAP XTENSION 24,DLT*SAP xtension 24,F095,SAP/SF CA,,,,
DLT*OCM P1 S4,DLT*OCM P1 S4,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Steve
DLT*SAP XTENSION 25,DLT*SAP xtension 25,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Steve
DLT*MAT AMS WFS,DLT*MAT AMS WFS,F095,Workforce,AMS,Indirect (Partners),Canada,Mathieu
DLT*MAT AMS SAPSF,DLT*MAT AMS SAPSF,F095,SAP/SF CA,AMS,Indirect (Partners),Canada,Mathieu
DLT*EXPENSES T&L,DLT*Expenses T&L,F095,SAP/SF CA,,,,
DLT*SF ECC S4 AMS,DLT*SF ECC S4 AMS,F095,SAP/SF CA,,,,
DLT*SF ECC S4 SOUTIEN,DLT*SF ECC S4 soutien,F095,SAP/SF CA,,,,
DOL*ESS P4,DOL*ESS P4,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
DOL*AMS SAPSF,DOL*AMS SAPSF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
DOL*AMS SAPSF INPASS,DOL*AMS SAPSF INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
BOR*AMS BOH,BOR*AMS BOH,F095,UKG,AMS,Direct customer,Canada,Yvan F.
ENE*T&A IMPLEMENT WFS,ENE*T&A implement WFS,F095,Workforce,Project,Direct customer,Canada,Elisabeth
ENE*ENABLE SERVICES,ENE*Enable services,F095,Workforce,,,,
ENU*AMS SF,ENU*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Mathieu
EXF*AMS SF,EXF*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
EXF*AMS SF INPASS,EXF*AMS SF INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
BOR*AMS UKG BOH INPASS,BOR*AMS UKG BOH INPASS,F095,UKG,AMS,Direct customer,Canada,Yvan F.
FMO*CW + PS SAPSF,FMO*CW + PS SAPSF,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
FMO*CW + PS WFS,FMO*CW + PS WFS,F095,Workforce,Project,Direct customer,Canada,Yvan F.
GDS*SF LMS,GDS*SF LMS,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
GDS*AMS SF,GDS*AMS SF,F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
GDS*AMS SF (extension),GDS*AMS SF (extension),F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
GDS*AMS SF INPASS,GDS*AMS SF INPASS,F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
GDS*ECP SUP + CONSULT,GDS*ECP Sup + Consult,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
GDS*ECP CO SUP+CONSULT,GDS*ECP CO Sup+Consult,F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
GDS*EC SUP+IMPL.,GDS*EC sup+impl.,F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
GDS*EC RCM ONB - LSV GA,GDS*EC RCM ONB - LSV GA,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
GLC*AMS SAP,GLC*AMS SAP,F095,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
CNC*AMS UKG,CNC*AMS UKG,F095,UKG,AMS,Direct customer,Canada,Yvan F.
GOC*AMS SAPSF,GOC*AMS SAPSF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
GOC*AMS SAPSF INPASS,GOC*AMS SAPSF INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
CNC*AMS UKG 25,CNC*AMS UKG 25,F095,UKG,AMS,Direct customer,Canada,Yvan F.
CNC*AMS UKG INPASS 25,CNC*AMS UKG INPASS 25,F095,UKG,AMS,Direct customer,Canada,Yvan F.
CNC*AMS_UKG_INPASS,CNC*AMS_UKG_INPASS,F095,UKG,AMS,Direct customer,Canada,Yvan F.
HQC*SEG S2+S3,HQC*SEG S2+S3,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*SEG S4,HQC*SEG S4,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*(HQC) 2503 S.E.G S5,HQC*(HQC) 2503 S.E.G S5,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*(HQC) 2504 S.E.G S6,HQC*(HQC) 2504 S.E.G S6,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*(HQC) 2504 S.E.G S7,HQC*(HQC) 2504 S.E.G S7,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*(HQC) 2505 S.E.G S8,HQC*(HQC) 2505 S.E.G S8,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*(HQC) 2506 S.E.G S9,HQC*(HQC) 2506 S.E.G S9,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
COG*WFC TO PRO WFM,COG*WFC to PRO WFM,F095,UKG,Project,Direct customer,Canada,Mathieu
CRH*AMS PRO,CRH*AMS PRO,F095,UKG,AMS,Direct customer,Canada,Mathieu
CRH*AMS UKGPRO INPASS,CRH*AMS UKGPRO INPASS,F095,UKG,AMS,Direct customer,Canada,Mathieu
CRH*YEAR END25,CRH*Year end25,F095,UKG,,,,
ENE*T&A IMPLEMENT UKG,ENE*T&A implement UKG,F095,UKG,Project,Direct customer,Canada,Elisabeth
ENERGIR*AS ZADDONS,Energir*AS Zaddons,F095,UKG,Project,Direct customer,Canada,Mathieu
F095*F020*GROUPE SEB,F095*F020*GROUPE SEB,F095,UKG,Project,Intercos Outside NA,EUROPE,Mathieu
F095*F037*DOMTAR UKG,F095*F037*Domtar UKG,F095,UKG,Project,Intercos North America,Canada,Mathieu
F095*F055*SHB*ARKEMA WFC,F095*F055*SHB*Arkema WFC,F095,UKG,,Intercos North America,,
MAG*SF AMS CANCEL,MAG*SF AMS,F095,SAP/SF CA,AMS,Intercos North America,Canada,
MAG*SF AMS - INPASS,MAG*SF AMS - INPASS,F095,SAP/SF CA,AMS,Intercos North America,Canada,
MAM*AMS SAP,MAM*AMS SAP,F095,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
MAM*AMS SAP INPASS,MAM*AMS SAP INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
F095*F086*CAD GAMING,F095*F086*CAD Gaming,F095,UKG,Project,Intercos North America,Canada,Mathieu
MDC*LICENSE SPINIFEX,MDC*License Spinifex,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
MDC*AMS SAP,MDC*AMS SAP,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
MDC*SAP CR,MDC*SAP CR,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
MDC*MIGRATION S4,MDC*Migration S4,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
MDC*LIC SAP,MDC*LIC SAP,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
MDC*BPO SERVICES,MDC*BPO services,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
F095*F086*CORNING WFC,F095*F086*Corning WFC,F095,UKG,Project,Intercos North America,Canada,Mathieu
F095*F086*CRN*UKG_BUCK,F095*F086*CRN*UKG_Buck,F095,UKG,,Intercos North America,,
MEC*EC-ECP MX (extension),MEC*EC-ECP MX (extension),F095,SAP/SF CA,,,,
MEC*EC-ECP MX,MEC*EC-ECP MX,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
F095*F086*CRN_SOW2,F095*F086*CRN_SOW2,F095,UKG,,Intercos North America,,
F095*F086*FRASER PRO,F095*F086*Fraser pro,F095,UKG,Project,Intercos North America,Canada,Mathieu
OPG*AMS WFS MINOR CR,OPG*AMS WFS minor CR,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
OPG*AMS WFS BASE,OPG*AMS WFS base,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
OPG*AMS WFS CRITICAL,OPG*AMS WFS critical,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
OPG*AMS WFS EXTRA TX,OPG*AMS WFS extra tx,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
OPG*AMS SF (new),OPG*AMS SF (new),F095,SAP/SF CA,AMS,Direct customer,Canada,Existing Services
PBL*EC TIME OFF,PBL*EC Time off,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
PBL*ONB,PBL*ONB,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
PBL*RCM,PBL*RCM,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
PHA*AMS SF,PHA*AMS SF,F095,SAP/SF CA,,,,
PHA*IAS UPGRADE,PHA*IAS upgrade,F095,SAP/SF CA,,,,
PHO*IMPLEMENTATION,PHO*Implementation,F095,Workforce,Project,Indirect (Partners),USA,Mathieu
PHO*ENABLE SERVICES,PHO*Enable services,F095,Workforce,,,,
PHO*ADVANCED SCHEDULER,PHO*Advanced Scheduler,F095,Workforce,,,,
PHO*AMS,PHO*AMS,F095,Workforce,AMS,Indirect (Partners),USA,Elisabeth
F095*F086*JBS PROWFMCLCK,F095*F086*JBS PROWFMCLCK,F095,UKG,Project,Intercos North America,Canada,Mathieu
F095*F086*JBS*UKG_SOW1,F095*F086*JBS*UKG_SOW1,F095,UKG,,Intercos North America,,
F095*F086*TRINITY,F095*F086*Trinity,F095,UKG,Project,Intercos North America,Canada,Mathieu
PBL*EC TO COL (new),PBL*EC TO COL (new),F095,SAP/SF CA,Project,Direct customer,Canada,
PSA*CLOUD LIC SF,PSA*Cloud LIC SF,F095,SAP/SF CA,Licence,Direct customer,Canada,Patrice B.
PSA*CLOUD LIC WFS,PSA*Cloud LIC WFS,F095,Workforce,Licence,Direct customer,Canada,Patrice B.
PSA*AMS SF TIX XS,PSA*AMS SF tix XS,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
PSA*AMS SF,PSA*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
PSA*AMS MINOR ENHANCET&M,PSA*AMS minor enhanceT&M,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
PSA*AMS MINOR ENHANCEFIX,PSA*AMS minor enhanceFix,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
PSA*AMS WFS TIX XS,PSA*AMS WFS tix XS,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
PSA*AMS WFS,PSA*AMS WFS,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
QCO*AMS TECH,QCO*AMS TECH,F095,SAP/SF CA,AMS,Direct customer,LATAM,Mathieu
QCO*AMS TECH INPASS,QCO*AMS TECH INPASS,F095,SAP/SF CA,AMS,Direct customer,LATAM,Mathieu
SAQ*LICENSES,SAQ*Licenses,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
SAQ*AMS SF INPASS,SAQ*AMS SF INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
SAQ*AMS SF,SAQ*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
F095*F086*UKG US*METROS2,F095*F086*UKG US*MetroS2,F095,UKG,,Intercos North America,,
F095*F086*UKG US*SOUTHB,F095*F086*UKG US*SOUTHB,F095,UKG,,Intercos North America,,
SIM*LICENSES WFS,SIM*Licenses WFS,F095,Workforce,Licence,Direct customer,Canada,Patrice B.
SIM*LICENSES SAP,SIM*Licenses SAP,F095,Workforce,Licence,Direct customer,Canada,Patrice B.
SIM*CLOCK RENTAL,SIM*Clock Rental,F095,Workforce,Licence,Direct customer,Canada,Patrice B.
STM*LMS LIC PROJ,STM*LMS LIC Proj,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
STM*SUP. SF LMS 23,STM*Sup. SF LMS 23,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
STM*SUP. SF LMS 25,STM*Sup. SF LMS 25,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
TEK*WFS T&A SUP.,TEK*WFS T&A Sup.,F095,Workforce,Project,Direct customer,Canada,Dan Whitmarsh
TEK*COMP,TEK*COMP,F095,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
TEK*ONB 2.0,TEK*ONB 2.0,F095,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
TEK*WFS ANALYTICS,TEK*WFS Analytics,F095,Workforce,Project,Direct customer,Canada,Dan Whitmarsh
TRS*AMS SAP,TRS*AMS SAP,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
TRS*AMS BASIS,TRS*AMS Basis,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
TRS*AMS SERVICES INPASS,TRS*AMS SERVICES INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
TRS*AMS SF,TRS*AMS SF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
F095*F097*SHB ARK WFC,F095*F097*SHB ARK WFC,F095,UKG,,Intercos North America,,
F095*F097*SHB BXT INT,F095*F097*SHB BXT INT,F095,UKG,,Intercos North America,,
F095*F099*UKG MX CONS.,F095*F099*UKG MX Cons.,F095,UKG,Staff Aug.,Intercos Outside NA,LATAM,Mathieu
FCI*AMS UKG,FCI*AMS UKG,F095,UKG,,,,
VDL*LIC PMGM,VDL*LIC PMGM,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
VDL*LIC LMS,VDL*LIC LMS,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
VDL*AMS SF LMS Y1,VDL*AMS SF LMS Y1,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
VDL*PROJ SF LMS,VDL*Proj SF LMS,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
VDL*CONTIN. SF LMS,VDL*Contin. SF LMS,F095,SAP/SF CA,,,,
VDL*AMS SF PMGM Y1,VDL*AMS SF PMGM Y1,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
VDL*PROJ PMGM,VDL*Proj PMGM,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
VDL*AMS SF LMS Y2,VDL*AMS SF LMS Y2,F095,SAP/SF CA,,,,
VDL*AMS SF PMGM Y2,VDL*AMS SF PMGM Y2,F095,SAP/SF CA,,,,
VDL*AMS SF LMS Y3,VDL*AMS SF LMS Y3,F095,SAP/SF CA,,,,
VDL*AMS SF PMGM Y3,VDL*AMS SF PMGM Y3,F095,SAP/SF CA,,,,
VDL*AMS SF LMS Y4,VDL*AMS SF LMS Y4,F095,SAP/SF CA,,,,
VDL*AMS SF PMGM Y4,VDL*AMS SF PMGM Y4,F095,SAP/SF CA,,,,
VDL*AMS SF LMS Y5,VDL*AMS SF LMS Y5,F095,SAP/SF CA,,,,
VDL*AMS SF PMGM Y5,VDL*AMS SF PMGM Y5,F095,SAP/SF CA,,,,
VDL*INT+PARAMETRAGE SUB,VDL*int+parametrage sub,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
VDL*SUPPOT GO1,VDL*Suppot Go1,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
GLW*DRIVER PAY CONFIG,GLW*Driver pay config,F095,UKG,Project,Direct customer,USA,Mathieu
VID*AMS,VID*AMS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
VID*SUPPORT,VID*Support,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
VID*SF TVA JDM JDQ MQMI,VID*SF TVA JDM JDQ MQMI,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
VON*AMS SAP,VON*AMS SAP,F095,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
VON*PENSION CALCULATIONS,VON*Pension calculations,F095,SAP/SF CA,Project,Direct customer,Canada,Dan Whitmarsh
GTO*AMS UKG,GTO*AMS UKG,F095,UKG,,,,
VTR*LIC SAP SF,VTR*LIC SAP SF,F095,SAP/SF CA,Licence,Direct customer,Canada,Patrice B.
VTR*TIRH P1 SAPSF,VTR*TIRH P1 SAPSF,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B.
VTR*TIRH P1 WFS,VTR*TIRH P1 WFS,F095,Workforce,Project,Direct customer,Canada,Patrice B.
WFS*STAFF AUG,WFS*Staff Aug,F095,Workforce,,,,
WFS*STAFF AUG LBR,WFS*Staff Aug LBR,F095,Workforce,,,,
GTO*AMS UKG ADHOC,GTO*AMS UKG ADHOC,F095,UKG,,,,
GTO*AMS UKG INPASS,GTO*AMS UKG INPASS,F095,UKG,,,,
WJT*WFS T&A IMPL.,WJT*WFS T&A Impl.,F095,Workforce,,,,
GTO*AMS UKG INPASS 24,GTO*AMS UKG INPASS 24,F095,UKG,,,,
GTO*AMS UKG INPASS 25,GTO*AMS UKG INPASS 25,F095,UKG,,,,
IMP*BOOMI SUPPORT,IMP*Boomi Support,F095,UKG,Project,Direct customer,USA,Mathieu
JEM*AMS UKG,JEM*AMS UKG,F095,UKG,AMS,Direct customer,Canada,Yvan F.
DLT*HMQ AMS LMS V1,DLT*HMQ AMS LMS V1,F095,SAP/SF CA,,,,
JEM*AMS UKG INPASS,JEM*AMS UKG INPASS,F095,UKG,AMS,Direct customer,Canada,Yvan F.
VOT*VOT RCM,VOT*VOT RCM,F095,SAP/SF CA,Project,Direct customer,Canada,Mathieu
HQC*HQC S.E.G S10,HQC*HQC S.E.G S10,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S11,HQC*HQC S.E.G S11,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S12,HQC*HQC S.E.G S12,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S13,HQC*HQC S.E.G S13,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S14,HQC*HQC S.E.G S14,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S15,HQC*HQC S.E.G S15,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*HQC S.E.G S16,HQC*HQC S.E.G S16,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
CCC*COO SF SUPPORT,CCC*COO SF Support,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B. 2%
DLT*B2GOLD SF P2,DLT*B2Gold SF P2,F095,SAP/SF CA,Project,Indirect (Partners),Canada,Mathieu
MET*SF COMP PMGM SUCC,MET*SF COMP PMGM SUCC,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
KER*AMS UKGD Y2,KER*AMS UKGD Y2,F095,UKG,AMS,Direct customer,Canada,Mathieu
VDL*LIC GO1,VDL*LIC GO1,F095,SAP/SF CA,Licence,Direct customer,Canada,Yvan F.
MEC*GDS EC-ECP XTENSION,MEC GDS EC-ECP Xtension,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
PBL*EC ONB ENHANCE,(PBL) 2506 EC & ONB Enhancements,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
KER*AMS UKGD Y2 INPASS,KER*AMS UKGD Y2 INPASS,F095,UKG,AMS,Direct customer,Canada,Mathieu
HQC*S.E.G S17,(HQC) 2501 S.E.G S17,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
BNC*INTEG FIELDGLASS,BNC*Integ fieldglass,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
metro*AMS SAPSF (new),metro*AMS SAPSF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
MET*INTEG DOCEBO LMS,MET*Integ Docebo LMS,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
CHECKERS*ONB 20,Checkers*ONB 2.0,F095,SAP/SF CA,,,,
KER*AMS Y3,KER*AMS Y3,F095,UKG,AMS,Direct customer,Canada,Mathieu
KER*AMS Y3 INPASS,KER*AMS Y3 INPASS,F095,UKG,AMS,Direct customer,Canada,Mathieu
KRUGER*UKG MIG,Kruger*UKG mig,F095,UKG,,,,
LAS*REPORTS WFM BOOMI,LAS*Reports WFM Boomi,F095,UKG,Project,Direct customer,Canada,Mathieu
LEV*UKG PRO+WFM,LEV*UKG pro+WFM,F095,UKG,Project,Indirect (Partners),Canada,Mathieu
PSAC*AMS WFS INCIDENT,PSAC*AMS WFS INCIDENT,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
PSAC*WFS ENHANCE T&M,PSAC*WFS ENHANCE T&M,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
PSAC*AMS SF INCIDENT,PSAC*AMS SF INCIDENT,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
PSAC*SF ENHANCE T&M,PSAC*SF ENHANCE T&M,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
INRGY*METRO_SF,INRGY*METRO_SF,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
LEV*UKG PRO+WFM P2,LEV*UKG PRO+WFM P2,F095,UKG,Project,Indirect (Partners),Canada,Mathieu
LOR*AMS UKG,LOR*AMS UKG,F095,UKG,AMS,Direct customer,Canada,Yvan F.
LOR*AMS UKG SALONCENTRIC,LOR*AMS UKG saloncentric,F095,UKG,AMS,Direct customer,Canada,Yvan F.
CAS*SF ONB 20,CAS*SF ONB 20,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
MCG*WFC CONFIG+SUPPORT,MCG*WFC config+support,F095,UKG,Project,Direct customer,Canada,Mathieu
MEA*AMS UKG BOH,MEA*AMS UKG BOH,F095,UKG,AMS,Direct customer,Canada,Yvan F.
GDS*COL NEW LEGAL,GDS*COL new legal,F095,SAP/SF CA,Project,Direct customer,LATAM,Yvan F.
PBL*EC TIME OFF AU CO,PBL*EC Time Off AU CO,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B. 2%
MEA*GESITON OFFENCES,MEA*Gesiton offences,F095,UKG,Project,Direct customer,Canada,Yvan F.
METRO*AMS UKG,metro*AMS UKG,F095,UKG,AMS,Direct customer,Canada,Yvan F.
BCT*AMS SF Y25,BCT*AMS SF Y25,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
MFQ*AMS UKGD,MFQ*AMS UKGD,F095,UKG,AMS,Direct customer,Canada,Patrice B.
DOL*SAPSF Y2 INPASS,DOLLARAMA*SAPSF Y2 INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
MFQ*AMS UKGD INPASS,MFQ*AMS UKGD INPASS,F095,UKG,AMS,Direct customer,Canada,Patrice B.
PSAC*AMS*IN PASS,PSAC*AMS*IN PASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
VTR*SAP ROUTER,VTR*SAP ROUTER,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B.
HMQ*APPEL D'OFFRES,HMQ*APPEL D'OFFRES,F095,SAP/SF CA,Project,Direct customer,Canada,Patrice B.
VINCI*PAY AUDIT,VINCI*PAY AUDIT,F095,SAP/SF CA,AMS,Direct customer,Canada,0
GDS*BPO PY SUPPORT,GDS*BPO PY support,F095,SAP/SF CA,AMS,Direct customer,LATAM,Yvan F.
OPG*WFS AMS,OPG*WFS AMS,F095,Workforce,AMS,Direct customer,Canada,Patrice B.
AEM*AMS SF INPASS,AEM*AMS SF INPASS,F095,SAP/SF CA,,,,
PAM*UKG PRO PAIE,PAM*UKG Pro Paie,F095,UKG,Project,Direct customer,Canada,Mathieu
ADM*MIGRATION,ADM*migration,F095,SAP/SF CA,Project,Direct customer,Canada,Yvan F.
METRO*AMS SAPSF,metro*AMS SAPSF,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
PHR*MIGR. PRO WFM,PHR*Migr. PRO WFM,F095,UKG,,,,
METRO*AMS INPASS,metro*AMS INPASS,F095,SAP/SF CA,AMS,Direct customer,Canada,Yvan F.
PUR*AMS SF,PUR*AMS SF,F095,SAP/SF CA,,,,
PUR*AMS WFS,PUR*AMS WFS,F095,Workforce,,,,
PUR*AMS INPASS,PUR*AMS INPASS,F095,SAP/SF CA,,,,
HQC*S.E.G PI4 SP1,HQC*S.E.G PI4 SP1,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*S.E.G PI4 SP2,HQC*S.E.G PI4 SP2,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*S.E.G PI4 SP3,HQC*S.E.G PI4 SP3,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*S.E.G PI4 SP4,HQC*S.E.G PI4 SP4,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*S.E.G PI5 SP1,HQC*S.E.G PI5 SP1,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
HQC*S.E.G PI5 SP2,HQC*S.E.G PI5 SP2,F095,SAP/SF CA,Project,Direct customer,Canada,Steve
PHR*PRO WFM CA IMPL.,PHR*Pro WFM CA impl.,F095,UKG,,,,
POL*SUP PROJ WFM,POL*Sup Proj WFM,F095,UKG,Project,Direct customer,Canada,Mathieu
DOLLARAMA*BPO*PY SUP,Dollarama*BPO*PY sup,F095,SAP/SF CA,BPO,Direct customer,Canada,Yvan F.
SAR*LICENSE,SAR*License,F095,UKG,Licence,Direct customer,USA,Mathieu
BNC*AMS SF Y2,BNC*AMS SF Y2,F095,SAP/SF CA,AMS,Direct customer,Canada,Patrice B.
