Project definition,WBS element,Name,Profit center (BU),Company code,Company name,Revenue Type,Countries (End Client),Prov/State (End Client),Direct/Ind./Interco,Client Type (Sales Commissions),Sales Rep,% Commission,T&M / FIXED,Currency,Backlog/Pipeline,%,Amount in local currency,Posting Date,Scenario
GROUPIN-RGY*WORKS,F095*F037*AL-PAC,F095*F037*Al-Pac,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,172.5,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*BCFSA,F095*F037*BCFSA,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,575.0,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*NORQUEST COL.,F095*F037*Norquest Col.,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,172.5,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*PCLCONST,F095*F037*PCLConst,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,575.0,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*UFA,F095*F037*UFA,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,115.0,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F079*LMO WFS,F095*F079*LMO WFS,Workforce,F095,GROUP IN-RGY CONSULTING,Project,USA,US (all states),Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,35820.51,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F079*NETJET WFS T&A,F095*F079*NETJET WFS T&A,Workforce,F095,GROUP IN-RGY CONSULTING,Project,USA,US (all states),Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,1514.3,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*PRIMACORP,F095*F037*Primacorp,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,5463.0,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F037*SOT_AMS_SF,F095*F037 SOT AMS SF,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,3269.54,2025-04-01,Actual
GROUPIN-RGY*WORKS,F095*F097*AFC SF AMS,F095*F097*AFC SF AMS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,5867.23,2025-04-01,Actual
GROUPIN-RGY*PROJECT,UNI*AMS UKG,UNI*AMS UKG,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,QC,Direct customer,Existing Services,Yvan F.,,BANK OF HOURS,CAD,Backlog,,-198.0,2025-04-01,Actual
GROUPIN-RGY*PROJECT,UNI*AMS UKG CAP. INPASS,UNI*AMS UKG Cap. INPASS,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,QC,Direct customer,Existing Services,Yvan F.,,FIXED PRICE,CAD,Backlog,,271.0,2025-04-01,Actual
GROUPIN-RGY*PROJECT,VHN*WFM ENHANCE MIGR.,VHN*WFM enhance migr.,UKG,F095,GROUP IN-RGY CONSULTING,Project,Canada,NS,Direct customer,Net New services,Mathieu,,T&M,CAD,Backlog,,37830.5,2025-04-01,Actual
GROUPIN-RGY*PROJECT,WJT*AMS UKGC,WJT*AMS UKGC,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Direct customer,Net New services,Mathieu,,BANK OF HOURS,CAD,Backlog,,13545.0,2025-04-01,Actual
GROUPIN-RGY*PROJECT,WJT*AMS UKGC INPASS,WJT*AMS UKGC INPASS,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Direct customer,Net New services,Mathieu,,FIXED PRICE,CAD,Backlog,,525.0,2025-04-01,Actual
GROUPIN-RGY*PROJECT,ZAD*TESTING,ZAD*Testing,UKG,F095,GROUP IN-RGY CONSULTING,Project,Canada,QC,Indirect (Partners),Existing Services,Mathieu,,T&M,CAD,Backlog,,15115.4,2025-04-01,Actual
HALTON*REGION,HALTON*REG*SF_ONBOARD,AVENUE HR HALTON ONBOARDING,SAP/SF CA,F037,HR Path Canada Inc.,Project,,,,,,,,CAD,Backlog,,1200.0,2025-04-01,Actual
HEC_MONTREAL*INTALENT,HEC_MONTREAL*PROJECT,INTALENT HEC_MONTREAL PROJECT,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,247.5,2025-04-01,Actual
HRPC*CITY_PETERBOROUGH,HRPC*CITY_PETERBOROUGH,HRP CANADA CITY PETERBOROUGH,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,5290.0,2025-04-01,Actual
HRPC*RESOLUTE,HRPC*RESOLUTE,HR PATH CANDA RESOLUTE PROJECT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,284557.64,2025-04-01,Actual
HRPC*VIA_TGF,HRPC*VIA_TGF,HRP CANADA VIA TGF,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,0,Indirect (Partners),Existing Services,Fredo,,T&M,CAD,Backlog,,15300.0,2025-04-01,Actual
HRPC_ALBERTAINNOVATES*AM,HRPC_ALBERTAINNOVATES*AM,HRP CANADA ALBERTAINNOVATE AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,300.0,2025-04-01,Actual
HRP_CANADA*NB,HRP_CANADA*TRAINING,HRP_CANADA TRAINING,Other (Intalent),F037,HR Path Canada Inc.,Staff Aug.,Canada,ON,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,2656.62,2025-04-01,Actual
HRP_CANADA*NB,HRP_CANADA*ADMIN,HRP_CANADA ADMIN,SAP/SF CA,F037,HR Path Canada Inc.,Staff Aug.,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,26157.54,2025-04-01,Actual
HRP_CANADA*WORK,HRP_CANADA*HRPATH_ONHR,HRPC W/ HRP_ONHR,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,6440.62,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*HRP_GOOGLE,HRPC W/ HRP GOOGLE,Workday,F037,HR Path Canada Inc.,Staff Aug.,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,21970.76,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*HRPWD_MONNEYEUR,HRP CANADA w/ HRP WD FR MONNEYEUR,Workday,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,5072.28,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*HRWDFR_ORANGE_TMA,HRP CANADA w/ HRP WD FR ORANGE TMA,Workday,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,422.77,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*HRPBE_ARENDT,HRP CANADA w/ HRP BE ARENDT,SAP/SF CA,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,1183.53,2025-04-01,Actual
HRP_CANADA*WORK,HRP_CAN*EXA_CURIUM_BPO,HRP_CANADA W/ EXA_CURIUM_BPO,BPO,F037,HR Path Canada Inc.,BPO,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1603.94,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*HRPUS*TURNER,HRP CANADA w/ HRP_US TURNER,Workforce,F037,HR Path Canada Inc.,Project,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,6291.2,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*3PS_GLENCOREC_PROJ,HRP CANADA WORKS 3PLUS Glencore C Proj,SAP/SF CA,F037,HR Path Canada Inc.,Project,USA,US (all states),Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,1223.64,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*GROUPEX_SCOTIABANK,HRP_CANADA W/ GROUPEX SCOTIABANK SUPPORT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1509.88,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY_ENERFLEX,HRP_CANADA W/ IN_RGY ENERFLEX,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,3585.99,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY_TEC,HRP_CANADA W/ IN_RGY TEC,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,10036.19,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*DOLLARCITY,HRPC*INRGY*DOLLARCITY,SAP/SF CA,F037,HR Path Canada Inc.,,,,Intercos North America,,,,,CAD,Backlog,,7585.14,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*MARINE_ATL,HRPC*INRGY*MARINE_ATL,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1896.32,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*SIMPLOT,HRPC*INRGY*SIMPLOT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,3269.54,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*VILLE_LAVAL,HRPC*INRGY*VILLE_LAVAL,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,326.99,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*FREEDOM,HRPC*INRGY*FREEDOM,SAP/SF CA,F037,HR Path Canada Inc.,,,,Intercos North America,,,,,CAD,Backlog,,1242.35,2025-04-01,Actual
HRP_CANADA*WORK,HRPC*WD_WENDEL_TMA,HRP CANADA w/ HRP WD WENDEL TMA,Workday,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,422.77,2025-04-01,Actual
FTI_CONS*EXASERV_INC,FTI*SUPPORT,FTI : FTI100 - Support,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,909.0,2025-04-01,Actual
FUELCELL*EXASERV,FUELCELL*AMS,FUEL CELL AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,3596.0,2025-04-01,Actual
IESO,IESO*AMES,HRPC IESO AMS,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,2640.0,2025-04-01,Actual
IMP*HRPC,IMP*LIC_SF,HRPC IMP LICENCE SAP,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,NS,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,14037.16,2025-04-01,Actual
IMPGROUP*HRPC,IMPGROUP*HRPC*AMES,HRPC IMPGROUP AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,4275.0,2025-04-01,Actual
IN-RGYUSA*PROJECT,AFC*AMS SF,AFC*AMS SF,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Existing Services,Mathieu,,BANK OF HOURS,USD,Backlog,,8358.5,2025-04-01,Actual
IN-RGYUSA*PROJECT,AFC*AMS SF INPASS,AFC*AMS SF INPASS,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Existing Services,Mathieu,,BANK OF HOURS,USD,Backlog,,805.25,2025-04-01,Actual
IN-RGYUSA*PROJECT,AHS*AMS SF CAP 23-26 USA,AHS*AMS SF CAP 23-26 USA,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Existing Services,Mathieu,,BANK OF HOURS,USD,Backlog,,180.25,2025-04-01,Actual
IN-RGYUSA*PROJECT,CHK*AMS SF,CHK*AMS SF,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Net New services,Elisabeth 2%,,T&M,USD,Backlog,,2102.5,2025-04-01,Actual
IN-RGYUSA*PROJECT,CHK*AMS SF INPASS,CHK*AMS SF INPASS,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Net New services,Elisabeth 2%,,T&M,USD,Backlog,,483.33,2025-04-01,Actual
IN-RGYUSA*PROJECT,SHB*WFR INTEGR. ARKEMA,SHB*WFR integr. Arkema,UKG,F097,IN-RGY CONSULTING USA LLC,Project,USA,US (all states),Indirect (Partners),Existing Services,Mathieu,,T&M,USD,Backlog,,962.5,2025-04-01,Actual
IN-RGYUSA*PROJECT,SOT*AMS SF INPASS,SOT*AMS SF INPASS,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Net New services,Elisabeth,,T&M,USD,Backlog,,8748.3,2025-04-01,Actual
IN-RGYUSA*PROJECT,ALT*AMS_SF,ALT*AMS SF,SAP/SF CA,F097,IN-RGY CONSULTING USA LLC,AMS,USA,US (all states),Direct customer,Existing Services,Mathieu,,BANK OF HOURS,USD,Backlog,,15336.63,2025-04-01,Actual
INFRASTRUC*HRPC,INFRASTRUC*ON_AMES,Infrastructure Ontario,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1800.0,2025-04-01,Actual
INTALENT*NB,INTALENT*ADMIN,INTALENT*ADMIN,Other (Intalent),F057,In Talent Solutions,,,,,,,,,CAD,Backlog,,40761.9,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*HRPC_PCL,INTALENT W/ HRPC PCL,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,231.2,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_SASKPOWER_AM,INTLT W/ HRPC_SASKPOWER_AMES,SAP/SF CA,F057,In Talent Solutions,AMS,Canada,ON,Intercos North America,0,,,0,CAD,Backlog,,2851.49,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*HRPC_LION_ELEC,INTALENT W/ HRPC LION ELECTRIC PROJECT,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,245.36,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_NRM_AMES,INTALENT W/ HRPC NORTHRIVER AMES,SAP/SF CA,F057,In Talent Solutions,AMS,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,3010.34,2025-04-01,Actual
INTALENT*TRAVAUX,INT*HRPC_RESOLUTE,INTALENT W/ HRPC RESOLUTE PROJET,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,16082.66,2025-04-01,Actual
INTALENT*TRAVAUX,INT*HRPC*KINECTRICS_AMES,INTALENT W/ HRPC KINECTRICS AMES,SAP/SF CA,F057,In Talent Solutions,AMS,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,415.22,2025-04-01,Actual
INTALENT*TRAVAUX,INT*HRPC*REGINAPOLICE_AM,INTALENT W/ HRPC REGINAPOLICE AMES,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,207.61,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_VILLE_LAVAL,INTALENT W/ HRPC VILLE DE LAVAL,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,6398.15,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_BCFSA_AMES,INTALENT W/ HRPC BCFSA AMES,SAP/SF CA,F057,In Talent Solutions,AMS,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,786.4,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*HRPC*VIA_TGF,INTALENT W/ HRPC VIA TGF,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,368.04,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_INTER_PIPEL,INTALENT W/ HRPC INTERPIPELINE,SAP/SF CA,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,3082.69,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_MELOCHE_P1,INTALENT W/ HRPC MELOCHE P1,Workday,F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,23162.63,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_BCFSA_PAYROLL,ANTALENT W/ HRPC BCFSA PAYROLL,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,3663.05,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPC_BSF_CR012,INTALENT W/ HRPC BSF CR012,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Intercos North America,0,Mathieu,,0,CAD,Backlog,,957.84,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*BIHRDY_ADMIN,INTALENT WORKS BIHRDY ADMIN,Other (Intalent),F057,In Talent Solutions,Project,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,4009.07,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*HRP_WD_GAL_SUP,INTALENT W/ HRPATH WD FR GALILEO SUPPORT,Workday,F057,In Talent Solutions,Project,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,519.02,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPWDFR_SATEBA,INTALENT w/ HR PATH WD FR SATEBA,Workday,F057,In Talent Solutions,Project,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,314.56,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*WD_KYRIBA,INTALENT W/ HRPWDFR KYRIBA,Workday,F057,In Talent Solutions,Project,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,3284.01,2025-04-01,Actual
INTALENT*TRAVAUX,INTALENT*CBL_CURIUM_BPO,INTALENT W/ CBL CURIUM BPO,BPO,F057,In Talent Solutions,BPO,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,78.64,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*HRPUS_TURNER,INTALENT W/ HRP US TURNER,Workforce,F057,In Talent Solutions,Project,USA,US (all states),Intercos North America,0,Mathieu,,0,CAD,Backlog,,20913.84,2025-04-01,Actual
INTALENT*TRAVAUX,INLNT*ALEPH_SALES,INTALENT W/ ALEPHTALENT SALES,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,9436.8,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*INRGY_CASCADES,INTALENT W/ INRGY CASCADES,SAP/SF CA,F057,In Talent Solutions,Project,Canada,QC,Intercos North America,0,Mathieu,,0,CAD,Backlog,,12407.82,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*INRGY_MDC_PAIE,INTALENT W/ INRGY MDC PAIE,Other (Intalent),F057,In Talent Solutions,Project,Canada,QC,Intercos North America,0,Mathieu,,0,CAD,Backlog,,10321.81,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*3PS_HALMA_PROJ,INTALENT W/ 3PS HALMA PROJECT,Workday,F057,In Talent Solutions,Project,EUROPE,EUROPE,Intercos Outside NA,0,Mathieu,,0,CAD,Backlog,,452.97,2025-04-01,Actual
INTALENT*TRAVAUX,INTLT*INRGY_PITCH_BLACK,INTALENT W/ INRGY PITCH BLACK,SAP/SF CA,F057,In Talent Solutions,Project,Canada,QC,Intercos North America,0,Mathieu,,0,CAD,Backlog,,103.81,2025-04-01,Actual
INTERPIPEL*HRPC,INTER_PIPEL*HRPC_PROJECT,HRP CANADA INTER PIPELINE PROJECT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,,,,,CAD,Backlog,,9900.0,2025-04-01,Actual
TIG*GCC,GCC*SUPPORT,GCC GCC Fieldglass integration,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,175.0,2025-04-01,Actual
GENESIS_FIN_COMP*EXAUS,GENESIS*AMS,EXASERV US GENESIS AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,185.0,2025-04-01,Actual
TIG*GENTHERM,GENTHERM*SUPPORT,Gentherm SuccessFactors Support Services,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,385.0,2025-04-01,Actual
GQR*EXA,GQR*PROJECT,GQR*PROJECT,Workday,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,11754.27,2025-04-01,Actual
GRACE*EXASERV_INC,GRACE_KEN*ADD_SUPPORT,GRACE_KEN - GRK1009 - Additional Suppo,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,17044.0,2025-04-01,Actual
GRACE*EXASERV_INC,GRACE_KEN*EXA_CPI_BT,GRACE_KEN EXASERV CPI BT,SAP/SF US,F055,HRPATH USA,Project,USA,0,Direct customer,0,0,,0,USD,Backlog,,2845.0,2025-04-01,Actual
GRAHAM_PACKAGING,GRAHAM*AMS,GRAHAM PACKAGING AMS,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,15560.0,2025-04-01,Actual
KGS*HRPC*PROJECT,KGS*HRPC*PROJECT,HRP CANADA  KGS PROJECT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,700.0,2025-04-01,Actual
KINECTRICS,KINECTRICS*AMES,HRP CANADA KINECTRICS AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1200.0,2025-04-01,Actual
KINECTRICS,KINECTRICS*LIC_SF,HRP CANADA KINECTRICS LICENCE SAP,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,13858.75,2025-04-01,Actual
LECLERC*HRP_CANADA,HRP_CAN*LECLERC_AMES,LECLERC AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,QC,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,2550.0,2025-04-01,Actual
LETHBRIDGE*INTALENT,INTALENT*LETHBRIDGE_PROJ,INTALENT*LETHBRIDGE_PROJ,Other (Intalent),F057,In Talent Solutions,,,,,,,,,CAD,Backlog,,30151.29,2025-04-01,Actual
LOOKOUTSOCIETY*HRPC,LOOKOUTSTY*HRPC_AMES,HRP CANADA LOOKOUTSOCIETY AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,9990.0,2025-04-01,Actual
LSC*HRPC,LSC*HRPC_AMES,HRP CANADA LSC AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,990.0,2025-04-01,Actual
MARTINREA,MARTINREA*AMES,AVENUE HR MARTINREA AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,520.0,2025-04-01,Actual
MARTINREA,MARTINREA*ADMIN_AMES,AVHRC MARTINREA ADMIN_AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,5000.0,2025-04-01,Actual
MARTINREA,MARTINREA*GERMANY_INTEG,AVHRC MARTINREA GERMANY INTEGRATION,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1365.0,2025-04-01,Actual
MELOCHE*HRPC,MELOCHE*HRPC_P1,MELOCHE*HRPC_P1,Workday,F037,HR Path Canada Inc.,AMS,Canada,QC,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,29312.5,2025-04-01,Actual
HAVI*EXASERV_INC,HAVI*SUPPORT,HAVI SUPPORT,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,306.0,2025-04-01,Actual
HAWORTH*EXASERV_INC,HAWORTH*AMS_SUPPORT,Haworth:HAW400 - AMS SF Support,SAP/SF US,F055,HRPATH USA,AMS,USA,0,Direct customer,0,0,,0,USD,Backlog,,7002.0,2025-04-01,Actual
HAWORTH*EXASERV_INC,HAWORTH*SUCCESSION,Haworth:SUCCESSION,SAP/SF US,F055,HRPATH USA,,,,,,,,,USD,Backlog,,-1770.0,2025-04-01,Actual
NDI*HRPC,NDI*HRPC*PROJECT_P1,NDI HRPC PROJECT PHASE 1,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,3574.08,2025-04-01,Actual
TIG*HILMAR,HILMAR*PI/PO,Hilmar Migration of PI/PO Integrations,TIG,F079,Terra Information Group,Staff Aug.,USA,0,Direct customer,0,0,,0,USD,Backlog,,60907.5,2025-04-01,Actual
NORQUEST*HRPC,NORQUEST*HRPC*LIC_SF,NORQUEST HRPC LICENCE SF,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,4740.0,2025-04-01,Actual
NORTHRIVER_MIDSTREAM,NORTHRIVER*AMES,NRM HRP AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,4340.0,2025-04-01,Actual
NRM,NRM*AMES,NRM AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,15990.0,2025-04-01,Actual
ONTARIO_ENERGY*AVHR,OEB*AMES,HRP CANADA OEB AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1260.0,2025-04-01,Actual
